VEHICLE_TAG,REPORT_TIME,PATTERN_MEASURE,PATTERN_OFFSET,TRIP_TAG,PATTERN_NAME,ROUTE,PATTERN_MEASURE_1,TRAPEZE_PATTERN_NAME,REPORT_HOUR,REPORT_MINUTE,LONGITUDE,LATITUDE
"5430","2/5/2015 6:00:46. AM","1043.14227488143","4.4738569576229","6542401","24___I_F00","24","1043.14227488143","24   I F00","6","0","-122.39814","37.73803"
"5414","2/5/2015 6:01:00. AM","6649.12021351381","-2.20034863536025","6542400","24___I_F00","24","6649.12021351381","24   I F00","6","1","-122.4348","37.75898"
"5414","2/5/2015 6:01:40. AM","6840.35405587139","-4.78800859871258","6542400","24___I_F00","24","6840.35405587139","24   I F00","6","1","-122.43493","37.7607"
"5430","2/5/2015 6:01:49. AM","1528.84454741428","-6.55595054903753","6542401","24___I_F00","24","1528.84454741428","24   I F00","6","1","-122.40288","37.73918"
"5430","2/5/2015 6:02:48. AM","2055.57311247071","-2.39675532838472","6542401","24___I_F00","24","2055.57311247071","24   I F00","6","2","-122.40706","37.73926"
"5414","2/5/2015 6:02:55. AM","7032.27653295491","-7.29999040855207","6542400","24___I_F00","24","7032.27653295491","24   I F00","6","2","-122.43507","37.76243"
"5414","2/5/2015 6:03:48. AM","7057.80516150876","-1.10832175115477","6542400","24___I_F00","24","7057.80516150876","24   I F00","6","3","-122.43518","37.76265"
"5430","2/5/2015 6:03:53. AM","2290.76497816594","-2.83896178014025","6542401","24___I_F00","24","2290.76497816594","24   I F00","6","3","-122.40924","37.73973"
"5463","2/5/2015 6:04:11. AM","10707.835368742","2.25796429594279","6542313","24___I_F00","24","10707.835368742","24   I F00","6","4","-122.39166","37.73443"
"5430","2/5/2015 6:04:20. AM","2518.16076450563","1.97267123324985","6542401","24___I_F00","24","2518.16076450563","24   I F00","6","4","-122.41179","37.73981"
"5414","2/5/2015 6:04:59. AM","7417.34099910903","-2.25709195326116","6542400","24___I_F00","24","7417.34099910903","24   I F00","6","4","-122.43547","37.76588"
"5463","2/5/2015 6:05:24. AM","10800.9253813455","-40.4429471897262","6542313","24___I_F00","24","10800.9253813455","24   I F00","6","5","-122.39067","37.73448"
"5430","2/5/2015 6:05:48. AM","2902.52303991249","7.40763564889551","6542401","24___I_F00","24","2902.52303991249","24   I F00","6","5","-122.41581","37.73893"
"5414","2/5/2015 6:05:50. AM","7606.67113455156","-0.585868632604693","6542400","24___I_F00","24","7606.67113455156","24   I F00","6","5","-122.43565","37.76758"
"5430","2/5/2015 6:06:23. AM","3099.02257329564","5.24997999745032","6542401","24___I_F00","24","3099.02257329564","24   I F00","6","6","-122.41802","37.73916"
"5414","2/5/2015 6:06:48. AM","7895.55365763119","-0.0144504178374454","6542400","24___I_F00","24","7895.55365763119","24   I F00","6","6","-122.43642","37.77005"
"5463","2/5/2015 6:06:53. AM","10800.9253813455","-40.4429471897262","6542313","24___I_F00","24","10800.9253813455","24   I F00","6","6","-122.39067","37.73448"
"5414","2/5/2015 6:07:08. AM","8004.06882689686","-4.13817030944816","6542400","24___I_F00","24","8004.06882689686","24   I F00","6","7","-122.43692","37.77086"
"5430","2/5/2015 6:07:22. AM","3484.78981298258","4.88069113562702","6542401","24___I_F00","24","3484.78981298258","24   I F00","6","7","-122.42198","37.74063"
"5414","2/5/2015 6:08:16. AM","8195.41733751027","-2.70812100891935","6542400","24___I_F00","24","8195.41733751027","24   I F00","6","8","-122.43728","37.77256"
"5463","2/5/2015 6:08:25. AM","10800.9253813455","-40.4429471897262","6542313","24___I_F00","24","10800.9253813455","24   I F00","6","8","-122.39067","37.73448"
"5430","2/5/2015 6:08:39. AM","3558.16649283274","-1.79526210870347","6542401","24___I_F00","24","3558.16649283274","24   I F00","6","8","-122.42269","37.74098"
"5430","2/5/2015 6:09:24. AM","3757.21769652803","1.27950480310399","6542401","24___I_F00","24","3757.21769652803","24   I F00","6","9","-122.42215","37.74236"
"5414","2/5/2015 6:09:49. AM","8390.83203899889","-3.78955467433102","6542400","24___I_F00","24","8390.83203899889","24   I F00","6","9","-122.43762","37.7742999"
"5463","2/5/2015 6:09:55. AM","10800.9253813455","-40.4429471897262","6542313","24___I_F00","24","10800.9253813455","24   I F00","6","9","-122.39067","37.73448"
"5430","2/5/2015 6:10:08. AM","3835.68321906956","-1.43210102083965","6542401","24___I_F00","24","3835.68321906956","24   I F00","6","10","-122.42304","37.74233"
"5414","2/5/2015 6:11:17. AM","8583.13773875781","-3.54321497565408","6542400","24___I_F00","24","8583.13773875781","24   I F00","6","11","-122.43797","37.77601"
"5463","2/5/2015 6:11:24. AM","10800.9253813455","-40.4429471897262","6542313","24___I_F00","24","10800.9253813455","24   I F00","6","11","-122.39067","37.73448"
"5430","2/5/2015 6:11:38. AM","3858.68956823988","-0.985643542024863","6542401","24___I_F00","24","3858.68956823988","24   I F00","6","11","-122.4233","37.74231"
"5430","2/5/2015 6:12:49. AM","4142.31807184929","-3.52582400148144","6542401","24___I_F00","24","4142.31807184929","24   I F00","6","12","-122.42651","37.74213"
"5414","2/5/2015 6:12:49. AM","8879.34461111262","-6.8571639501038","6542400","24___I_F00","24","8879.34461111262","24   I F00","6","12","-122.43846","37.77865"
"5463","2/5/2015 6:12:55. AM","10800.9253813455","-40.4429471897262","6542313","24___I_F00","24","10800.9253813455","24   I F00","6","12","-122.39067","37.73448"
"5463","2/5/2015 6:13:21. AM","10800.9253813455","-40.4429471897262","6542313","24___I_F00","24","10800.9253813455","24   I F00","6","13","-122.39067","37.73448"
"5430","2/5/2015 6:13:44. AM","4524.0382411998","6.98884335979416","6542401","24___I_F00","24","4524.0382411998","24   I F00","6","13","-122.43082","37.74178"
"5414","2/5/2015 6:13:48. AM","9155.62899740833","-1.10831107153363","6542400","24___I_F00","24","9155.62899740833","24   I F00","6","13","-122.43902","37.7811"
"5463","2/5/2015 6:14:24. AM","10800.9253813455","-40.4429471897262","6542313","24___I_F00","24","10800.9253813455","24   I F00","6","14","-122.39067","37.73448"
"5414","2/5/2015 6:14:30. AM","9349.69167988124","-3.91154523260317","6542400","24___I_F00","24","9349.69167988124","24   I F00","6","14","-122.43934","37.78283"
"5430","2/5/2015 6:14:38. AM","4754.18345975208","8.89123594565149","6542401","24___I_F00","24","4754.18345975208","24   I F00","6","14","-122.43125","37.74383"
"5414","2/5/2015 6:15:50. AM","9607.46165176624","-9.40331995085811","6542400","24___I_F00","24","9607.46165176624","24   I F00","6","15","-122.43975","37.78513"
"5463","2/5/2015 6:15:55. AM","148.05988098769","-0.0931767507965877","6542402","24___I_F00","24","148.05988098769","24   I F00","6","15","-122.39046","37.73548"
"5430","2/5/2015 6:15:55. AM","5098.83933120342","3.98491647497671","6542401","24___I_F00","24","5098.83933120342","24   I F00","6","15","-122.43149","37.74693"
"5463","2/5/2015 6:16:31. AM","251.18838697326","-12.590697344949","6542402","24___I_F00","24","251.18838697326","24   I F00","6","16","-122.39117","37.73616"
"5414","2/5/2015 6:16:45. AM","9735.36969937952","-3.69787971612117","6542400","24___I_F00","24","9735.36969937952","24   I F00","6","16","-122.44004","37.78626"
"5430","2/5/2015 6:16:50. AM","5371.39082127284","-0.453058314079137","6542401","24___I_F00","24","5371.39082127284","24   I F00","6","16","-122.43302","37.74815"
"5414","2/5/2015 6:17:13. AM","9925.10925979502","-5.39790949774445","6542400","24___I_F00","24","9925.10925979502","24   I F00","6","17","-122.44036","37.78795"
